name	M1	M2	R1	R2	T1	T2	d						M	R	T		Lum
HI_Mon	14.2	12.2	5.13	4.99	30000	29000	2260						14.2	5.13	30000		19335.38649
LT_CMa	5.59	3.36	3.59	2.04	17000	13140	535						5.59	3.59	17000		976.3773387
SW_CMa	2.239	2.104	3.014	2.495	8200	8100	576						2.239	3.014	8200		37.25418045
HW_Cma	1.721	1.781	1.643	1.662	7560	7700	306						1.721	1.643	7560		7.998258151
GZ_CMa	2.2	2	2.49	2.13	8810	8531	300						2.2	2.49	8810		33.87937861
FS_Mon	1.632	1.462	2.051	1.629	6715	6550	322						1.632	2.051	6715		7.757977168
YY_Gem	0.598	0.601	0.62	0.604	3820	3820	13						0.598	0.62	3820		0.074245466
2MASSJ07431157+0316220	0.584	0.511	0.56	0.513	3730	3610	316						0.584	0.56	3730		0.05506105
PV_Pup	1.565	1.554	1.542	1.499	6920	6930	83						1.565	1.542	6920		4.945682515
V392_Car	1.9	1.853	1.625	1.601	8850	8650	349						1.9	1.625	8850		14.69308266
CN_Lyn	1.04	1.04	1.8	1.84	6500	6455	285						1.04	1.8	6500		5.246039366
AI_Hya	1.98	2.15	2.77	3.92	7100	6700	575						1.98	2.77	7100		17.68585424
NSVS_07394765	0.36	0.18	0.463	0.496	3300	3106	28						0.36	0.463	3300		0.023059551
TYC_5998-1918-1	0.703	0.687	0.694	0.699	4350	4090	44						0.703	0.694	4350		0.156426049
AY_Cam	1.901	1.705	2.771	2.025	7400	6900	303						1.901	2.771	7400		20.88493072
VV_Pyx	2.098	2.098	2.167	2.167	9500	9500	195						2.098	2.167	9500		34.69327928
HD_71636	1.513	1.285	1.571	1.361	6950	6440	117						1.513	1.571	6950		5.223056176
CU_Cnc	0.433	0.398	0.432	0.391	3160	3125	13						0.433	0.432	3160		0.016879086
VZ_Hya	1.271	1.146	1.314	1.112	6645	6290	147						1.271	1.314	6645		3.053541171
TZ_Pyx	2.078	2.005	2.358	2.028	7468	7521	510						2.078	2.358	7468		15.68692958
RS_Cha	1.89	1.87	2.15	2.36	7638	7228	108.1						1.89	2.15	7638		14.27015349
V467_Vel	30	9	12	5	37870	25500	429						30	12	37870		268643.7994
