name	M1	M2	R1	R2	T1	T2	d						M	R	T		Lum
													0.744	0.83	5938		0.776873068
													0.728	0.807	5915		0.723101352
													4.62	2.64	16300		446.2635129
													0.214	0.239	3120		0.004909613
													0.489	0.452	3395		0.024618925
													7.3	5.2	21800		5539.438819
													9.96	5.39	26260		12531.10952
													1.28	1.291	7205		4.074004773
													1.22	1.419	6115		2.553781549
													1.056	0.934	6400		1.327537375
													2.74	3.84	9500		108.940654
													4.56	3.01	16000		538.5748017
													1.45	1.43	6678		3.688848695
													1.17	1.313	6030		2.067434738
													1.87	2.21	7945		17.6519733
													1.34	1.32	6425		2.693230343
													5.33	3.73	16982		1049.557214
													3.253	3.515	10700		146.899013
													1.31	2.73	4977		4.147906569
													1.97	1.67	9100		17.34728925
													19.01	6.125	34100		46011.12058
													1.99	1.55	9100		14.94383535
													1.86	1.5	8450		10.40500905
													2.3	1.71	9450		21.15205481
													2.356	2.028	9800		34.40909993
													2.326	1.986	10016		36.00550116
													3.36	2.93	10350		89.35724044
													1.87	2.967	7608		26.75162801
													5.29	4.04	20100		2416.462547
													3.48	2.33	14125		196.019274
													1.375	1.922	6400		5.621597805
													2.72	2.04	12044		79.42851273
													4.52	2.48	15135		292.7292845
													1.094	1.052	5895		1.212271306
													16.6	4.86	30500		18539.79827
													3.66	2.6	11650		112.9492901
													1.63	1.75	7178		7.3743377
													0.523	0.525	3700		0.046855288
													1.68	1.56	8710		12.70442241
													0.958	0.963	5300		0.663726505
													0.32	0.86	3170		0.067743411
													0.929	0.971	5430		0.743482733
													0.827	0.768	4900		0.308418108
													0.86	0.85	4930		0.387131613
													1.23	1.15	5985		1.539165811
													1.157	1.599	5987		2.979662453
													1.675	2.34	6050		6.654054013
													1.66	2.45	7623		18.3852253
													0.351	0.375	3338		0.015835835
													2.234	3.385	8150		45.85438673
													0.481	0.479	3436		0.029007931
													0.376	0.393	3305		0.016714911
													0.685	0.64	4780		0.193956636
													1.347	1.323	6400		2.66362261
													2.24	1.79	9955		28.543303
													6.95	3.74	20500		2240.741497
													0.341	0.897	2750		0.041739647
													1.276	1.396	6626		3.407294492
													1.35	1.27	6700		2.948083371
													11.11	5.489	25500		11555.27516
													0.535	0.5	3610		0.038512519
													0.8	0.85	4616		0.297532328
													16.3	7.43	30550		43616.98021
													1.8	2.28	7036		11.55596254
													5.46	3.14	18250		992.0735701
													1.408	1.489	6823		4.358368921
													1.41	1.662	6808		5.382367353
													1.248	1.575	6927		5.18053933
													1.58	1.47	6755		4.081024399
													0.69	0.83	4400		0.234207069
													1.53	2.09	6425		6.751778847
													6.09	3.04	20206		1397.338645
													17.3	5.7	31570		29273.93791
													0.81	0.84	4720		0.317657911
													1.06	1.18	5883		1.51283832
													0.932	0.974	5300		0.678976121
													1.68	2.329	6950		11.47919157
													0.703	0.718	4220		0.148296807
													1.335	1.312	6450		2.702337805
													1.124	1.315	5700		1.655709104
													1.69	1.37	8683		9.677283115
													1.108	1.042	5720		1.054271973
													5.39	2.92	17756		768.7397828
													1.293	1.68	6653		5.015586972
													1.5	1.55	4586		0.963901611
													3.29	2.45	10900		76.85484816
													1.39	1.79	6450		5.030116329
													2.325	2.71	8872		41.27221932
													1.056	1.005	6200		1.353729802
													0.87	0.964	5560		0.805538575
													29.8	8.58	39550		163378.0226
													13.6	5.86	28600		20839.74847
													2.296	2.985	8500		42.18883007
													2.48	2	10400		42.44499208
													9	5.4	23100		7531.275723
													0.946	0.956	5185		0.59916155
													11.09	4.99	27700		13296.98797
													2.76	2.256	10200		49.97030337
													0.91	0.9	4732		0.368380872
													1.901	1.779	8550		15.34085141
													0.382	0.374	3320		0.015414472
													0.607	0.901	5020		0.467624825
													1.86	1.6	8150		10.24480057
													2.017	1.717	9265		19.70404512
													1.328	1.56	6470		3.86811545
													1.257	1.474	6320		3.144100275
													1.71	1.4	10300		20.00958487
													1.62	1.39	8450		8.934896883
