name	M1	M2	R1	R2	T1	T2	d						M	R	T		Lum			Gravity		
V1174_Ori	1.009	0.731	1.339	1.065	4470	3615	419				0.753547423		1.009	1.339	4470		0.649268533			2.21731E-07		
V432_Aur	1.22	1.08	2.46	1.23	6080	6685	134				0.495934959		1.22	2.46	6080		7.500973647			7.94302E-08		
GG_Ori	2.342	2.338	1.852	1.83	9950	9950	438				1.264578834		2.342	1.852	9950		30.49350851			2.6903E-07		
V1031_Ori	2.473	2.287	4.321	2.987	7850	8400	215				0.572321222		2.473	4.321	7850		64.31026039			5.21857E-08		
beta_Aur	2.376	2.291	2.762	2.568	9350	9200	25.4				0.860246198		2.376	2.762	9350		52.88431707			1.22714E-07		
V1388_Ori	7.42	5.16	5.6	3.76	20500	18500	832				1.325		7.42	5.6	20500		5023.710525			9.32232E-08		
FT_Ori	2.182	1.783	1.86	1.616	9600	8600	421				1.17311828		2.182	1.86	9600		26.65286681			2.48499E-07		
V404_CMa	0.733	0.662	0.719	0.68	4200	3940	1050				1.019471488		0.733	0.719	4200		0.145911006			5.58653E-07		
IM_Mon	5.5	3.32	3.15	2.36	17500	14500	353				1.746031746		5.5	3.15	17500		844.1243158			2.18393E-07		
RR_Lyn	1.927	1.507	2.57	1.59	7570	6980	74				0.749805447		1.927	2.57	7570		19.67355633			1.14951E-07		
V578_Mon	14.54	10.29	5.23	4.32	30000	26400	1390				2.780114723		14.54	5.23	30000		20096.54986			2.09439E-07		
WW_Aur	1.964	1.814	1.927	1.841	7960	7670	84				1.01920083		1.964	1.927	7960		13.52224526			2.08389E-07		
SV_Cam	1.47	0.87	1.38	0.94	6038	4804	87				1.065217391		1.47	1.38	6038		2.29595682			3.04127E-07		
GX_Gem	1.488	1.467	2.327	2.238	6194	6166	682				0.639449936		1.488	2.327	6194		7.229540235			1.0827E-07		
HS_Aur	0.898	0.877	1.005	0.874	5350	5200	130				0.893532338		0.898	1.005	5350		0.750551263			3.503E-07		
HI_Mon	14.2	12.2	5.13	4.99	30000	29000	2260				2.768031189		14.2	5.13	30000		19335.38649			2.12593E-07		
LT_CMa	5.59	3.36	3.59	2.04	17000	13140	535				1.557103064		5.59	3.59	17000		976.3773387			1.70891E-07		
SW_CMa	2.239	2.104	3.014	2.495	8200	8100	576				0.742866622		2.239	3.014	8200		37.25418045			9.711E-08		
HW_Cma	1.721	1.781	1.643	1.662	7560	7700	306				1.047474133		1.721	1.643	7560		7.998258151			2.5119E-07		
GZ_CMa	2.2	2	2.49	2.13	8810	8531	300				0.883534137		2.2	2.49	8810		33.87937861			1.39804E-07		
FS_Mon	1.632	1.462	2.051	1.629	6715	6550	322				0.79570941		1.632	2.051	6715		7.757977168			1.52857E-07		
YY_Gem	0.598	0.601	0.62	0.604	3820	3820	13				0.964516129		0.598	0.62	3820		0.074245466			6.12934E-07		
2MASSJ07431157+0316220	0.584	0.511	0.56	0.513	3730	3610	316				1.042857143		0.584	0.56	3730		0.05506105			7.33724E-07		
PV_Pup	1.565	1.554	1.542	1.499	6920	6930	83				1.014915694		1.565	1.542	6920		4.945682515			2.59323E-07		
V392_Car	1.9	1.853	1.625	1.601	8850	8650	349				1.169230769		1.9	1.625	8850		14.69308266			2.83493E-07		
CN_Lyn	1.04	1.04	1.8	1.84	6500	6455	285				0.577777778		1.04	1.8	6500		5.246039366			1.26469E-07		
AI_Hya	1.98	2.15	2.77	3.92	7100	6700	575				0.714801444		1.98	2.77	7100		17.68585424			1.01672E-07		
NSVS_07394765	0.36	0.18	0.463	0.496	3300	3106	28				0.777537797		0.36	0.463	3300		0.023059551			6.61663E-07		
TYC_5998-1918-1	0.703	0.687	0.694	0.699	4350	4090	44				1.0129683		0.703	0.694	4350		0.156426049			5.75086E-07		
AY_Cam	1.901	1.705	2.771	2.025	7400	6900	303				0.686033923		1.901	2.771	7400		20.88493072			9.75451E-08		
VV_Pyx	2.098	2.098	2.167	2.167	9500	9500	195				0.968158745		2.098	2.167	9500		34.69327928			1.76029E-07		
HD_71636	1.513	1.285	1.571	1.361	6950	6440	117				0.96308084		1.513	1.571	6950		5.223056176			2.41537E-07		
CU_Cnc	0.433	0.398	0.432	0.391	3160	3125	13				1.002314815		0.433	0.432	3160		0.016879086			9.14148E-07		
VZ_Hya	1.271	1.146	1.314	1.112	6645	6290	147				0.967275495		1.271	1.314	6645		3.053541171			2.90035E-07		
TZ_Pyx	2.078	2.005	2.358	2.028	7468	7521	510				0.881255301		2.078	2.358	7468		15.68692958			1.4725E-07		
RS_Cha	1.89	1.87	2.15	2.36	7638	7228	108.1				0.879069767		1.89	2.15	7638		14.27015349			1.61095E-07		
V467_Vel	30	9	12	5	37870	25500	429				2.5		30	12	37870		268643.7994			8.20833E-08		
NSVS_02502726	0.714	0.347	0.674	0.763	4300	3620	173				1.059347181		0.714	0.674	4300		0.140872663			6.19262E-07		
del_Vel	2.43	2.27	2.97	2.52	9450	9830	25				0.818181818		2.43	2.97	9450		63.80772213			1.0854E-07		
CV_Vel	6.066	5.972	4.126	3.908	18000	17780	553				1.470189045		6.066	4.126	18000		1620.99463			1.40391E-07		
XY_UMa	1.101	0.665	1.16	0.63	5200	4125	86				0.949137931		1.101	1.16	5200		0.892405959			3.2238E-07		
PT_Vel	2.198	1.626	2.094	1.559	9247	7638	164				1.049665712		2.198	2.094	9247		29.07969811			1.97502E-07		
KW_Hya	1.978	1.488	2.126	1.484	8000	6900	86				0.930385701		1.978	2.126	8000		16.79266316			1.72423E-07		
