name	M1	M2	R1	R2	T1	T2	d						M	R	T		Lum			Gravity		
RW_Lac	0.928	0.87	1.186	0.964	5760	5560	190				0.782462057		0.928	1.186	5760		1.404405172			2.59941E-07		
DH_Cep	32.7	29.8	8.69	8.58	41000	39550	2767				3.762945915		32.7	8.69	41000		193556.6461			1.7061E-07		
AH_Cep	15.4	13.6	6.38	5.86	29900	28600	725				2.413793103		15.4	6.38	29900		29509.32117			1.49065E-07		
V364_Lac	2.333	2.296	3.307	2.985	8250	8500	453				0.705473239		2.333	3.307	8250		45.95336222			8.40509E-08		
V453_Cep	2.58	2.48	2.1	2	10300	10400	248				1.228571429		2.58	2.1	10300		45.02156595			2.30503E-07		
NY_Cep	13	9	6.8	5.4	28500	23100	725				1.911764706		13	6.8	28500		27671.35168			1.1077E-07		
EF_Aqr	1.244	0.946	1.338	0.956	6150	5185	172				0.929745889		1.244	1.338	6150		2.322981753			2.73782E-07		
CW_Cep	11.82	11.09	5.48	4.99	28300	27700	770				2.156934307		11.82	5.48	28300		17471.89325			1.55079E-07		
PV_Cas	2.81	2.76	2.297	2.256	10200	10200	670				1.223334785		2.81	2.297	10200		51.80310433			2.09836E-07		
RT_And	1.24	0.91	1.26	0.9	6095	4732	107.5				0.984126984		1.24	1.26	6095		1.987325652			3.07735E-07		
V396_Cas	2.398	1.901	2.592	1.779	9225	8550	560				0.925154321		2.398	2.592	9225		44.13352354			1.40629E-07		
2MASSJ23143816+0339493	0.469	0.382	0.441	0.374	3460	3320	289				1.063492063		0.469	0.441	3460		0.02528219			9.50149E-07		
NSVS_11868841	0.87	0.607	0.983	0.901	5250	5020	668				0.885045778		0.87	0.983	5250		0.665851462			3.54739E-07		
AR_Cas	5.9	1.86	5.05	1.6	17200	8150	190				1.168316832		5.9	5.05	17200		2024.555339			9.11518E-08		
V731_Cep	2.577	2.017	1.823	1.717	10700	9265	809				1.41360395		2.577	1.823	10700		39.5131412			3.05518E-07		
IT_Cas	1.33	1.328	1.593	1.56	6470	6470	504				0.834902699		1.33	1.593	6470		4.033497412			2.06498E-07		
BK_Peg	1.414	1.257	1.988	1.474	6265	6320	298				0.711267606		1.414	1.988	6265		5.52268369			1.40966E-07		
AL_Scl	3.63	1.71	3.24	1.4	13550	10300	200				1.12037037		3.63	3.24	13550		320.9817272			1.36243E-07		
V821_Cas	2.04	1.62	2.31	1.39	9400	8450	274				0.883116883		2.04	2.31	9400		37.78926827			1.50627E-07		
											0.960784314		0.49	0.51	3614		0.040246309			7.42253E-07		
											1.245231608		4.57	3.67	15100		635.1452084			1.33684E-07		
											0.739242685		0.859	1.162	5959		1.544325726			2.50655E-07		
											1		1.35	1.35	6700		3.331193468			2.91852E-07		
											0.787327021		1.081	1.373	5875		2.037068657			2.25934E-07		
											1.125		1.8	1.6	7780		8.507294392			2.77031E-07		
											1.376686454		2.551	1.853	11910		62.66585839			2.92722E-07		
											0.658039648		1.195	1.816	5010		1.88458487			1.42769E-07		
											0.746162928		1.264	1.694	6170		3.772250949			1.73547E-07		
											0.997455471		1.96	1.965	9100		24.01727811			1.99999E-07		
											1		0.445	0.445	3085		0.016269485			8.85393E-07		
											0.915662651		0.76	0.83	4750		0.318100046			4.34664E-07		
											1.014754098		0.619	0.61	3600		0.05668952			6.55431E-07		
											0.631221719		0.279	0.442	3365		0.022720502			5.62673E-07		
											1.670520231		3.179	1.903	11000		48.09295092			3.45867E-07		
											1.182094082		1.558	1.318	8000		6.453924445			3.53373E-07		
											0.988151659		1.251	1.266	6462		2.534943795			3.07529E-07		
											1.036644166		2.15	2.074	9800		35.98776826			1.96932E-07		
											0.910885505		1.615	1.773	7620		9.613255054			2.02419E-07		
											0.852564103		1.33	1.56	6561		4.090368697			2.15327E-07		
											0.928125		2.97	3.2	11210		146.6748036			1.14275E-07		
											0.984126984		0.62	0.63	4055		0.097336929			6.1547E-07		
											0.992647059		1.35	1.36	6580		3.144955463			2.87576E-07		
											1.016528926		1.23	1.21	6575		2.481914851			3.31002E-07		
											0.246394231		2.05	8.32	5000		39.24278114			1.16682E-08		
											0.967741935		0.24	0.248	3300		0.00661595			1.53746E-06		
											1.042462845		0.491	0.471	3270		0.023007315			8.72039E-07		
											0.989399293		0.28	0.283	3241		0.008015343			1.37747E-06		
											1.020435967		1.498	1.468	6970		4.613349231			2.73877E-07		
											0.986759142		1.565	1.586	7262		6.345479606			2.45134E-07		
											0.781144781		1.392	1.782	6625		5.54871014			1.72711E-07		
											1.153333333		1.73	1.5	7670		7.063128091			3.02942E-07		
											0.610839844		1.251	2.048	6000		4.930580054			1.17515E-07		
											1.884615385		4.9	2.6	17400		562.0523882			2.85592E-07		
											1.595522388		10.69	6.7	27244		22431.90723			9.38262E-08		
											0.997412678		0.771	0.773	3977		0.135585879			5.08384E-07		
											1.035951327		1.873	1.808	8240		13.66906496			2.25755E-07		
											0.904761905		0.19	0.21	2900		0.0028292			1.69751E-06		
											1		0.532	0.532	3810		0.054094894			7.40602E-07		
											1.007202881		0.839	0.833	5125		0.434208769			4.76396E-07		
											0.982947625		0.807	0.821	5270		0.471587064			4.71719E-07		
											0.954094293		0.769	0.806	4133		0.171935206			4.66393E-07		
											0.863636364		1.368	1.584	6200		3.362871099			2.14819E-07		
											1.263215859		2.294	1.816	10350		34.32623694			2.74068E-07		
											1.023701003		1.123	1.097	5900		1.322678853			3.67674E-07		
											0.768208092		1.329	1.73	4751		1.383137755			1.74956E-07		
											1.262626263		2.5	1.98	10700		46.6120925			2.5125E-07		
											0.940345369		1.198	1.274	6150		2.106068185			2.90813E-07		
											1.05027933		1.504	1.432	7200		4.998608577			2.88974E-07		
											0.686384977		0.731	1.065	3615		0.175697479			2.5393E-07		
											0.87804878		1.08	1.23	6685		2.740620978			2.81261E-07		
											1.277595628		2.338	1.83	9950		29.7733437			2.75067E-07		
											0.765651155		2.287	2.987	8400		40.29217373			1.00993E-07		
											0.892133956		2.291	2.568	9200		42.85233157			1.36877E-07		
											1.372340426		5.16	3.76	18500		1502.08916			1.43804E-07		
											1.103341584		1.783	1.616	8600		12.95715417			2.69008E-07		
											0.973529412		0.662	0.68	3940		0.101073155			5.64074E-07		
											1.406779661		3.32	2.36	14500		223.3207734			2.34861E-07		
											0.947798742		1.507	1.59	6980		5.44313427			2.34863E-07		
											2.381944444		10.29	4.32	26400		8222.73529			2.17242E-07		
											0.985334058		1.814	1.841	7670		10.63952259			2.10875E-07		
											0.925531915		0.87	0.94	4804		0.426875088			3.87936E-07		
											0.655495979		1.467	2.238	6166		6.567005112			1.154E-07		
											1.003432494		0.877	0.874	5200		0.506604856			4.52348E-07		
											2.44488978		12.2	4.99	29000		15974.46019			1.93043E-07		
											1.647058824		3.36	2.04	13140		112.5317063			3.18108E-07		
											0.843286573		2.104	2.495	8100		24.30604423			1.33168E-07		
											1.071600481		1.781	1.662	7700		8.807609434			2.54038E-07		
											0.938967136		2	2.13	8531		21.79676707			1.73687E-07		
											0.897483118		1.462	1.629	6550		4.43037489			2.17071E-07		
											0.995033113		0.601	0.604	3820		0.070462888			6.49078E-07		
											0.996101365		0.511	0.513	3610		0.040541204			7.65037E-07		
											1.036691127		1.554	1.499	6930		4.700773356			2.72486E-07		
											1.157401624		1.853	1.601	8650		13.01607979			2.84832E-07		
											0.565217391		1.04	1.84	6455		5.331553123			1.2103E-07		
											0.548469388		2.15	3.92	6700		28.08694173			5.51268E-08		
											0.362903226		0.18	0.496	3106		0.020768363			2.88274E-07		
											0.982832618		0.687	0.699	4090		0.124016849			5.53986E-07		
											0.841975309		1.705	2.025	6900		8.431008486			1.63821E-07		
											0.968158745		2.098	2.167	9500		34.69327928			1.76029E-07		
											0.944158707		1.285	1.361	6440		2.889966631			2.73327E-07		
											1.017902813		0.398	0.391	3125		0.013224727			1.02571E-06		
											1.03057554		1.146	1.112	6290		1.755679607			3.6515E-07		
											0.988658777		2.005	2.028	7521		11.93634504			1.92077E-07		
											0.792372881		1.87	2.36	7228		13.78890216			1.32286E-07		
											1.8		9	5	25500		9588.128345			1.4184E-07		
											0.454783748		0.347	0.763	3620		0.090681035			2.34842E-07		
											0.900793651		2.27	2.52	9830		53.78340098			1.40838E-07		
											1.52814739		5.972	3.908	17780		1384.4244			1.54066E-07		
											1.055555556		0.665	0.63	4125		0.104234148			6.60141E-07		
											1.042976267		1.626	1.559	7638		7.503155635			2.63587E-07		
											1.002695418		1.488	1.484	6900		4.527904655			2.66214E-07		
											0.99869961		0.768	0.769	4360		0.193834798			5.11687E-07		
											2.09382716		8.48	4.05	22600		3881.297311			2.03696E-07		
											1.002467105		1.219	1.216	6400		2.250194994			3.24813E-07		
											0.830025884		0.962	1.159	5097		0.822353442			2.82166E-07		
											1.037470726		0.443	0.427	3630		0.028715432			9.57291E-07		
											0.912828947		1.11	1.216	5741		1.456969451			2.95769E-07		
											0.665194346		1.506	2.264	6457		8.081818614			1.15763E-07		
											2.473818943		10.63	4.297	26500		8259.377409			2.26829E-07		
											0.859504132		1.04	1.21	6500		2.370594517			2.79872E-07		
											0.951219512		0.78	0.82	5120		0.419122192			4.57049E-07		
											1.222222222		2.64	2.16	11100		64.24399296			2.22942E-07		
											2.568345324		21.42	8.34	34000		84310.34721			1.21334E-07		
											0.916666667		0.275	0.3	2952		0.006199277			1.20389E-06		
											0.851753805		1.287	1.511	6190		3.040357361			2.22099E-07		
											2		8.4	4.2	24000		5308.559092			1.87619E-07		
											0.973684211		1.11	1.14	6112		1.64503898			3.36519E-07		
											1.381974249		4.83	3.495	15400		623.1754729			1.55793E-07		
											0.975036711		0.664	0.681	4250		0.13724074			5.64118E-07		
											0.924292298		1.404	1.519	6546		3.842843162			2.39744E-07		
											1.544600939		3.29	2.13	12550		102.0862424			2.85715E-07		
											0.978388998		0.498	0.509	3513		0.035791613			7.57338E-07		
											0.629005525		2.277	3.62	8280		55.86908987			6.84608E-08		
											0.730232558		1.57	2.15	6670		8.298763037			1.33819E-07		
											0.945945946		1.05	1.11	5850		1.308888133			3.35768E-07		
											0.821327283		1.448	1.763	6500		5.032585472			1.83552E-07		
											1.028915663		0.854	0.83	5000		0.390543407			4.88425E-07		
											1.048226164		1.891	1.804	8800		17.70259214			2.28936E-07		
											0.994243421		1.209	1.216	6145		1.912439949			3.22148E-07		
											1.454492754		2.509	1.725	11000		39.51682538			3.32215E-07		
											0.966129032		0.599	0.62	3810		0.073471074			6.13959E-07		
											0.825234442		0.968	1.173	5670		1.289915817			2.77189E-07		
											1.022222222		0.92	0.9	5800		0.831438444			4.47506E-07		
											0.513575526		1.343	2.615	5781		6.92768883			7.738E-08		
											1.15		1.84	1.6	8872		14.38663437			2.83188E-07		
											1.074193548		1.665	1.55	7798		8.058040172			2.73053E-07		
											0.990180033		0.605	0.611	4812		0.181559093			6.38512E-07		
											0.896385542		0.744	0.83	5938		0.776873068			4.25513E-07		
											0.902106568		0.728	0.807	5915		0.723101352			4.40434E-07		
											1.75		4.62	2.64	16300		446.2635129			2.61174E-07		
											0.89539749		0.214	0.239	3120		0.004909613			1.47609E-06		
											1.081858407		0.489	0.452	3395		0.024618925			9.43036E-07		
											1.403846154		7.3	5.2	21800		5539.438819			1.06368E-07		
											1.847866419		9.96	5.39	26260		12531.10952			1.35076E-07		
											0.991479473		1.28	1.291	7205		4.074004773			3.02589E-07		
											0.859760395		1.22	1.419	6115		2.553781549			2.38721E-07		
											1.130620985		1.056	0.934	6400		1.327537375			4.76943E-07		
											0.713541667		2.74	3.84	9500		108.940654			7.32123E-08		
											1.514950166		4.56	3.01	16000		538.5748017			1.98302E-07		
											1.013986014		1.45	1.43	6678		3.688848695			2.79378E-07		
											0.891089109		1.17	1.313	6030		2.067434738			2.67395E-07		
											0.846153846		1.87	2.21	7945		17.6519733			1.50853E-07		
											1.015151515		1.34	1.32	6425		2.693230343			3.03007E-07		
											1.428954424		5.33	3.73	16982		1049.557214			1.5094E-07		
											0.925462304		3.253	3.515	10700		146.899013			1.03736E-07		
											0.47985348		1.31	2.73	4977		4.147906569			6.92536E-08		
											1.179640719		1.97	1.67	9100		17.34728925			2.7831E-07		
											3.103673469		19.01	6.125	34100		46011.12058			1.99649E-07		
											1.283870968		1.99	1.55	9100		14.94383535			3.26352E-07		
											1.24		1.86	1.5	8450		10.40500905			3.25707E-07		
											1.34502924		2.3	1.71	9450		21.15205481			3.09907E-07		
											1.1617357		2.356	2.028	9800		34.40909993			2.25702E-07		
											1.171198389		2.326	1.986	10016		36.00550116			2.32353E-07		
											1.146757679		3.36	2.93	10350		89.35724044			1.54206E-07		
											0.630266262		1.87	2.967	7608		26.75162801			8.36956E-08		
											1.309405941		5.29	4.04	20100		2416.462547			1.27699E-07		
											1.493562232		3.48	2.33	14125		196.019274			2.52559E-07		
											0.715400624		1.375	1.922	6400		5.621597805			1.46653E-07		
											1.333333333		2.72	2.04	12044		79.42851273			2.57516E-07		
											1.822580645		4.52	2.48	15135		292.7292845			2.89555E-07		
											1.039923954		1.094	1.052	5895		1.212271306			3.89477E-07		
											3.41563786		16.6	4.86	30500		18539.79827			2.76906E-07		
											1.407692308		3.66	2.6	11650		112.9492901			2.1332E-07		
											0.931428571		1.63	1.75	7178		7.3743377			2.09704E-07		
											0.996190476		0.523	0.525	3700		0.046855288			7.47617E-07		
											1.076923077		1.68	1.56	8710		12.70442241			2.71992E-07		
											0.994807892		0.958	0.963	5300		0.663726505			4.07014E-07		
											0.372093023		0.32	0.86	3170		0.067743411			1.70471E-07		
											0.956745623		0.929	0.971	5430		0.743482733			3.88216E-07		
											1.076822917		0.827	0.768	4900		0.308418108			5.52433E-07		
											1.011764706		0.86	0.85	4930		0.387131613			4.68983E-07		
											1.069565217		1.23	1.15	5985		1.539165811			3.66442E-07		
											0.723577236		1.157	1.599	5987		2.979662453			1.78292E-07		
											0.715811966		1.675	2.34	6050		6.654054013			1.20526E-07		
											0.67755102		1.66	2.45	7623		18.3852253			1.08961E-07		
											0.936		0.351	0.375	3338		0.015835835			9.83424E-07		
											0.659970458		2.234	3.385	8150		45.85438673			7.68178E-08		
											1.004175365		0.481	0.479	3436		0.029007931			8.25981E-07		
											0.956743003		0.376	0.393	3305		0.016714911			9.59177E-07		
											1.0703125		0.685	0.64	4780		0.193956636			6.58911E-07		
											1.01814059		1.347	1.323	6400		2.66362261			3.0321E-07		
											1.251396648		2.24	1.79	9955		28.543303			2.75447E-07		
											1.85828877		6.95	3.74	20500		2240.741497			1.95766E-07		
											0.380156076		0.341	0.897	2750		0.041739647			1.6698E-07		
											0.914040115		1.276	1.396	6626		3.407294492			2.57974E-07		
											1.062992126		1.35	1.27	6700		2.948083371			3.29779E-07		
											2.024048096		11.11	5.489	25500		11555.27516			1.45286E-07		
											1.07		0.535	0.5	3610		0.038512519			8.4316E-07		
											0.941176471		0.8	0.85	4616		0.297532328			4.36263E-07		
											2.193808883		16.3	7.43	30550		43616.98021			1.16334E-07		
											0.789473684		1.8	2.28	7036		11.55596254			1.36427E-07		
											1.738853503		5.46	3.14	18250		992.0735701			2.18187E-07		
											0.945601075		1.408	1.489	6823		4.358368921			2.50213E-07		
											0.848375451		1.41	1.662	6808		5.382367353			2.01119E-07		
											0.792380952		1.248	1.575	6927		5.18053933			1.98221E-07		
											1.074829932		1.58	1.47	6755		4.081024399			2.88084E-07		
											0.831325301		0.69	0.83	4400		0.234207069			3.94629E-07		
											0.732057416		1.53	2.09	6425		6.751778847			1.38005E-07		
											2.003289474		6.09	3.04	20206		1397.338645			2.59637E-07		
											3.035087719		17.3	5.7	31570		29273.93791			2.09794E-07		
											0.964285714		0.81	0.84	4720		0.317657911			4.52296E-07		
											0.898305085		1.06	1.18	5883		1.51283832			2.99943E-07		
											0.95687885		0.932	0.974	5300		0.678976121			3.87074E-07		
											0.721339631		1.68	2.329	6950		11.47919157			1.2203E-07		
											0.979108635		0.703	0.718	4220		0.148296807			5.37282E-07		
											1.017530488		1.335	1.312	6450		2.702337805			3.05569E-07		
											0.854752852		1.124	1.315	5700		1.655709104			2.56101E-07		
											1.233576642		1.69	1.37	8683		9.677283115			3.54766E-07		
											1.063339731		1.108	1.042	5720		1.054271973			4.02069E-07		
											1.845890411		5.39	2.92	17756		768.7397828			2.49069E-07		
											0.769642857		1.293	1.68	6653		5.015586972			1.805E-07		
											0.967741935		1.5	1.55	4586		0.963901611			2.45994E-07		
											1.342857143		3.29	2.45	10900		76.85484816			2.15953E-07		
											0.776536313		1.39	1.79	6450		5.030116329			1.70925E-07		
											0.857933579		2.325	2.71	8872		41.27221932			1.24733E-07		
											1.050746269		1.056	1.005	6200		1.353729802			4.11934E-07		
											0.902489627		0.87	0.964	5560		0.805538575			3.6886E-07		
											3.473193473		29.8	8.58	39550		163378.0226			1.59492E-07		
											2.320819113		13.6	5.86	28600		20839.74847			1.56041E-07		
											0.769179229		2.296	2.985	8500		42.18883007			1.01527E-07		
											1.24		2.48	2	10400		42.44499208			2.4428E-07		
											1.666666667		9	5.4	23100		7531.275723			1.21605E-07		
											0.989539749		0.946	0.956	5185		0.59916155			4.07823E-07		
											2.22244489		11.09	4.99	27700		13296.98797			1.7548E-07		
											1.223404255		2.76	2.256	10200		49.97030337			2.13662E-07		
											1.011111111		0.91	0.9	4732		0.368380872			4.42642E-07		
											1.068577853		1.901	1.779	8550		15.34085141			2.36661E-07		
											1.021390374		0.382	0.374	3320		0.015414472			1.07601E-06		
											0.673695893		0.607	0.901	5020		0.467624825			2.94602E-07		
											1.1625		1.86	1.6	8150		10.24480057			2.86266E-07		
											1.174723355		2.017	1.717	9265		19.70404512			2.69564E-07		
											0.851282051		1.328	1.56	6470		3.86811545			2.15003E-07		
											0.852781547		1.257	1.474	6320		3.144100275			2.27948E-07		
											1.221428571		1.71	1.4	10300		20.00958487			3.43745E-07		
											1.165467626		1.62	1.39	8450		8.934896883			3.30356E-07		
